Name,Rolle,Datum,Gewicht_cura,Gewicht_wage,Anzahl
Lamp Cord Clip,Weiﬂ 1 200,20.04.22,,,1
Extruder Knob,Weiﬂ 1 200,23.04.22,4,,1
Strain Relief,Weiﬂ 1 200,23.04.22,4,,1
LCD Back Cover,Weiﬂ 1 200,23.04.22,13,,1
seifentropf,Weiﬂ 1 200,30.04.22,4,,1
sheath,Weiﬂ 1 200,30.04.22,2,,1
chainmail,Weiﬂ 1 200,01.05.22,,,1
headphone hook,Weiﬂ 1 200,07.05.22,14,,1
haken f¸r tim proto,Weiﬂ 1 200,08.05.22,3,,1
sofitte,Weiﬂ 1 200,12.05.22,6,,4
haken f¸r tim A,Weiﬂ 1 200,15.05.22,32,,1
haken f¸r tim L,Weiﬂ 1 200,15.05.22,29,,1
Lampshade 20%,Weiﬂ 1 200,15.05.22,2,,1
richtblock,Weiﬂ 1 200,21.05.22,9,,1
overhang angle test,Weiﬂ 1 200,22.05.22,1,,1
cable holder,Weiﬂ 1 200,22.05.22,1,,1
vorhang clip,Weiﬂ 1 200,22.05.22,5,,1
schnitt [kameramonitor montierung proto],Weiﬂ 1 200,24.05.22,1,,1
"Testdome 0,28",Weiﬂ 1 200,28.05.22,2,,1
"Testdome 0,12",Weiﬂ 1 200,28.05.22,2,,1
haken f¸r tim N,Weiﬂ 1 200,28.05.22,29,,1
haken f¸r tim T,Weiﬂ 1 200,28.05.22,26,,1
Testdome Adaptive Layer Height,PLA Natur 800 1,29.05.22,1,,1
Wall Clamp [Besenhalter],PLA Natur 800 1,29.05.22,11,,1
kameramonitorhalterung,PLA Natur 800 1,29.05.22,46,,1
trommelschrauber,PLA Natur 800 1,30.05.22,27,,1
Tesaroller Proto,PLA Natur 800 1,02.06.22,0,,1
Tesaroller,PLA Natur 800 1,02.06.22,2,,1
G-Druecker1,PLA Natur 800 1,02.06.22,1,,1
klingeladapter,PLA Natur 800 1,13.06.22,1,,1
G-Druecker3,PLA Natur 800 1,22.06.22,2,,1
Floetenklappenrichtlasche1,PLA Natur 800 1,22.06.22,0,,1
Richtblock1,PLA Natur 800 1,22.06.22,8,,1
G-Druecker4,PLA Natur 800 1,23.06.22,1,,1
PLABacke2R,PLA Natur 800 1,23.06.22,,,1
Floetenklappenrichtlasche2,PLA Natur 800 1,02.07.22,1,,1
PLABacke_v7,PLA Natur 800 1,02.07.22,36,,2
HantelGewinde + HandelMutter,PLA Natur 800 1,04.07.22,10,,1
HantelGewinde + Mutter ÑSlicing Tolerance: Exclusiveì,PLA Natur 800 1,07.07.22,10,,1
"s.o., aber gewinde angepasst",PLA Natur 800 1,08.07.22,7,,1
Hantelstange,PLA Natur 800 1,11.07.22,60,,1
R06 (Testdruck 250% extrusion width),PLA Natur 800 1,16.07.22,3,,1
SoFiTop,PLA Natur 800 1,16.07.22,24,,1
Hantelstange v10,PLA Natur 800 1,16.07.22,66,,1
Temptower,PLA Natur 800 1,17.07.22,11,,1
Hufschuhhalter R,PLA Natur 800 1,24.07.22,62,,1
Hufschuhhalter L,PLA Natur 800 1,27.07.22,63,,1
Hufschuhhalter ganz,PLA Natur 800 1,28.07.22,109,,1
ˆlhalter,PLA Natur 800 1,01.08.22,9,,1
UsbHubHalter (fail),PLA Natur 800 1,04.08.22,50,,1
bahtinovmaksutov,PLA Natur 800 1,11.08.22,27,,1
